First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
914,305,238,914 x 305,914 x 305 x 238,0,0,0,0,0,0,238.0,0,915.0,305.0,0,16.5,25.9,19.0,0,824.8,0,50.0,4.84,0,0,0,10,156,46,2.99,12.6,406000,12300,0,0,36.6,6.36,0,0,8880,806,0,0,0,10200,1270,0,0.865,38.6,24.2,0,514,0,0,0,0,0,0,304
914,305,224,914 x 305,914 x 305 x 224,0,0,0,0,0,0,224.2,0,910.4,304.1,0,15.9,23.9,19.1,0,824.4,0,51.8,5.23,0,0,0,10,156,44,2.97,13.2,376000,11200,0,0,36.3,6.27,0,0,8270,739,0,0,0,9530,1160,0,0.860,41.4,22.1,0,422,0,0,0,0,0,0,286
914,305,201,914 x 305,914 x 305 x 201,0,0,0,0,0,0,200.9,0,903.0,303.3,0,15.1,20.2,19.1,0,824.4,0,54.6,6.19,0,0,0,10,156,40,2.96,14.7,325000,9420,0,0,35.7,6.07,0,0,7200,621,0,0,0,8350,982,0,0.853,46.9,18.4,0,291,0,0,0,0,0,0,256
838,292,226,838 x 292,838 x 292 x 226,0,0,0,0,0,0,226.5,0,850.9,293.8,0,16.1,26.8,17.8,0,761.7,0,47.3,4.52,0,0,0,10,150,46,2.81,12.4,340000,11400,0,0,34.3,6.27,0,0,7980,773,0,0,0,9160,1210,0,0.870,34.9,19.3,0,514,0,0,0,0,0,0,289
838,292,194,838 x 292,838 x 292 x 194,0,0,0,0,0,0,193.8,0,840.7,292.4,0,14.7,21.7,17.8,0,761.7,0,51.8,5.58,0,0,0,9,150,40,2.79,14.4,279000,9070,0,0,33.6,6.06,0,0,6640,620,0,0,0,7640,974,0,0.862,41.6,15.2,0,306,0,0,0,0,0,0,247
838,292,176,838 x 292,838 x 292 x 176,0,0,0,0,0,0,175.9,0,834.9,291.7,0,14.0,18.8,17.8,0,761.7,0,54.4,6.44,0,0,0,9,150,38,2.78,15.8,246000,7800,0,0,33.1,5.90,0,0,5890,535,0,0,0,6810,842,0,0.856,46.5,13.0,0,221,0,0,0,0,0,0,224
762,267,197,762 x 267,762 x 267 x 197,0,0,0,0,0,0,196.8,0,769.8,268.0,0,15.6,25.4,16.5,0,686.0,0,44.0,4.32,0,0,0,10,138,42,2.55,13.0,240000,8170,0,0,30.9,5.71,0,0,6230,610,0,0,0,7170,958,0,0.869,33.2,11.3,0,404,0,0,0,0,0,0,251
762,267,173,762 x 267,762 x 267 x 173,0,0,0,0,0,0,173.0,0,762.2,266.7,0,14.3,21.6,16.5,0,686.0,0,48.0,5.08,0,0,0,9,138,40,2.53,14.6,205000,6850,0,0,30.5,5.58,0,0,5390,514,0,0,0,6200,807,0,0.865,38.0,9.39,0,267,0,0,0,0,0,0,220
762,267,147,762 x 267,762 x 267 x 147,0,0,0,0,0,0,146.9,0,754.0,265.2,0,12.8,17.5,16.5,0,686.0,0,53.6,6.27,0,0,0,8,138,34,2.51,17.1,169000,5460,0,0,30.0,5.40,0,0,4470,411,0,0,0,5160,647,0,0.859,45.2,7.40,0,159,0,0,0,0,0,0,187
762,267,134,762 x 267,762 x 267 x 134,0,0,0,0,0,0,133.9,0,750.0,264.4,0,12.0,15.5,16.5,0,686.0,0,57.2,7.08,0,0,0,8,138,32,2.51,18.7,151000,4790,0,0,29.7,5.30,0,0,4020,362,0,0,0,4640,570,0,0.853,49.8,6.46,0,119,0,0,0,0,0,0,171
686,254,170,686 x 254,686 x 254 x 170,0,0,0,0,0,0,170.2,0,692.9,255.8,0,14.5,23.7,15.2,0,615.1,0,42.4,4.45,0,0,0,9,132,40,2.35,13.8,170000,6630,0,0,28.0,5.53,0,0,4920,518,0,0,0,5630,811,0,0.872,31.8,7.42,0,308,0,0,0,0,0,0,217
686,254,152,686 x 254,686 x 254 x 152,0,0,0,0,0,0,152.4,0,687.5,254.5,0,13.2,21.0,15.2,0,615.1,0,46.6,5.02,0,0,0,9,132,38,2.34,15.4,150000,5780,0,0,27.8,5.46,0,0,4370,455,0,0,0,5000,710,0,0.871,35.4,6.42,0,220,0,0,0,0,0,0,194
686,254,140,686 x 254,686 x 254 x 140,0,0,0,0,0,0,140.1,0,683.5,253.7,0,12.4,19.0,15.2,0,615.1,0,49.6,5.55,0,0,0,8,132,36,2.33,16.6,136000,5180,0,0,27.6,5.39,0,0,3990,409,0,0,0,4560,638,0,0.870,38.6,5.72,0,169,0,0,0,0,0,0,178
686,254,125,686 x 254,686 x 254 x 125,0,0,0,0,0,0,125.2,0,677.9,253.0,0,11.7,16.2,15.2,0,615.1,0,52.6,6.51,0,0,0,8,132,32,2.32,18.5,118000,4380,0,0,27.2,5.24,0,0,3480,346,0,0,0,3990,542,0,0.862,43.8,4.80,0,116,0,0,0,0,0,0,159
610,305,238,610 x 305,610 x 305 x 238,0,0,0,0,0,0,238.1,0,635.8,311.4,0,18.4,31.4,16.5,0,540.0,0,29.3,4.14,0,0,0,11,158,48,2.45,10.3,209000,15800,0,0,26.3,7.23,0,0,6590,1020,0,0,0,7490,1570,0,0.886,21.3,14.5,0,785,0,0,0,0,0,0,303
610,305,179,610 x 305,610 x 305 x 179,0,0,0,0,0,0,179.0,0,620.2,307.1,0,14.1,23.6,16.5,0,540.0,0,38.3,5.51,0,0,0,9,158,42,2.41,13.5,153000,11400,0,0,25.9,7.07,0,0,4930,743,0,0,0,5550,1140,0,0.885,27.7,10.2,0,340,0,0,0,0,0,0,228
610,305,149,610 x 305,610 x 305 x 149,0,0,0,0,0,0,149.2,0,612.4,304.8,0,11.8,19.7,16.5,0,540.0,0,45.8,6.60,0,0,0,8,158,38,2.39,16.0,126000,9310,0,0,25.7,7.00,0,0,4110,611,0,0,0,4590,937,0,0.886,32.7,8.17,0,200,0,0,0,0,0,0,190
610,229,140,610 x 229,610 x 229 x 140,0,0,0,0,0,0,139.9,0,617.2,230.2,0,13.1,22.1,12.7,0,547.6,0,41.8,4.34,0,0,0,9,120,36,2.11,15.1,112000,4510,0,0,25.0,5.03,0,0,3620,391,0,0,0,4140,611,0,0.875,30.5,3.99,0,216,0,0,0,0,0,0,178
610,229,125,610 x 229,610 x 229 x 125,0,0,0,0,0,0,125.1,0,612.2,229.0,0,11.9,19.6,12.7,0,547.6,0,46.0,4.89,0,0,0,8,120,34,2.09,16.7,98600,3930,0,0,24.9,4.97,0,0,3220,343,0,0,0,3680,535,0,0.875,34.1,3.45,0,154,0,0,0,0,0,0,159
610,229,113,610 x 229,610 x 229 x 113,0,0,0,0,0,0,113.0,0,607.6,228.2,0,11.1,17.3,12.7,0,547.6,0,49.3,5.54,0,0,0,8,120,30,2.08,18.4,87300,3430,0,0,24.6,4.88,0,0,2870,301,0,0,0,3280,469,0,0.870,38.0,2.99,0,111,0,0,0,0,0,0,144
610,229,101,610 x 229,610 x 229 x 101,0,0,0,0,0,0,101.2,0,602.6,227.6,0,10.5,14.8,12.7,0,547.6,0,52.2,6.48,0,0,0,7,120,28,2.07,20.5,75800,2910,0,0,24.2,4.75,0,0,2520,256,0,0,0,2880,400,0,0.863,43.1,2.52,0,77.0,0,0,0,0,0,0,129
610,178,100,610 x 178,610 x 178 x 100,0,0,0,0,0,0,100.3,0,607.4,179.2,0,11.3,17.2,12.7,0,547.6,0,48.5,4.14,0,0,0,8,94,30,1.89,18.8,72500,1660,0,0,23.8,3.60,0,0,2390,185,0,0,0,2790,296,0,0.855,38.7,1.44,0,95.0,0,0,0,0,0,0,128
610,178,92,610 x 178,610 x 178 x 92,0,0,0,0,0,0,92.2,0,603.0,178.8,0,10.9,15.0,12.7,0,547.6,0,50.2,4.75,0,0,0,7,94,28,1.88,20.4,64600,1440,0,0,23.4,3.50,0,0,2140,161,0,0,0,2510,258,0,0.850,42.6,1.24,0,71.0,0,0,0,0,0,0,117
610,178,82,610 x 178,610 x 178 x 82,0,0,0,0,0,0,81.8,0,598.6,177.9,0,10.0,12.8,12.7,0,547.6,0,54.8,5.57,0,0,0,7,94,26,1.87,22.9,55900,1210,0,0,23.2,3.40,0,0,1870,136,0,0,0,2190,218,0,0.843,48.4,1.04,0,48.8,0,0,0,0,0,0,104
