First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2],,,,,
305,305,198,305 x 305,305 x 305 x 198,0,0,0,0,0,0,198.1,0,339.9,314.5,0,19.1,31.4,15.2,0,246.7,0,12.9,4.22,0,0,0,12,158,48,1.87,9.44,50900,16300,0,0,14.2,8.04,0,0,3000,1040,0,0,0,3440,1580,0,0.854,10.2,3.88,0,734,0,0,0,0,0,0,252,,,,,
305,305,158,305 x 305,305 x 305 x 158,0,0,0,0,0,0,158.1,0,327.1,311.2,0,15.8,25,15.2,0,246.7,0,15.6,5.3,0,0,0,10,158,42,1.84,11.6,38700,12600,0,0,13.9,7.9,0,0,2370,808,0,0,0,2680,1230,0,0.852,12.4,2.87,0,378,0,0,0,0,0,0,201,,,,,
305,305,137,305 x 305,305 x 305 x 137,0,0,0,0,0,0,136.9,0,320.5,309.2,0,13.8,21.7,15.2,0,246.7,0,17.9,6.11,0,0,0,9,158,38,1.82,13.3,32800,10700,0,0,13.7,7.83,0,0,2050,692,0,0,0,2300,1050,0,0.852,14.1,2.39,0,249,0,0,0,0,0,0,174,,,,,
305,305,118,305 x 305,305 x 305 x 118,0,0,0,0,0,0,117.9,0,314.5,307.4,0,12,18.7,15.2,0,246.7,0,20.6,7.09,0,0,0,8,158,34,1.81,15.4,27700,9060,0,0,13.6,7.77,0,0,1760,589,0,0,0,1960,895,0,0.852,16.1,1.98,0,161,0,0,0,0,0,0,150,,,,,
305,305,97,305 x 305,305 x 305 x 97,0,0,0,0,0,0,96.9,0,307.9,305.3,0,9.9,15.4,15.2,0,246.7,0,24.9,8.6,0,0,0,7,158,32,1.79,18.5,22200,7310,0,0,13.4,7.69,0,0,1450,479,0,0,0,1590,726,0,0.851,19.2,1.56,0,91.2,0,0,0,0,0,0,123,,,,,
254,254,167,254 x 254,254 x 254 x 167,0,0,0,0,0,0,167.1,0,289.1,265.2,0,19.2,31.7,12.7,0,200.3,0,10.4,3.48,0,0,0,12,134,46,1.58,9.46,30000,9870,0,0,11.9,6.81,0,0,2080,744,0,0,0,2420,1140,0,0.851,8.48,1.63,0,626,0,0,0,0,0,0,213,,,,,
254,254,132,254 x 254,254 x 254 x 132,0,0,0,0,0,0,132,0,276.3,261.3,0,15.3,25.3,12.7,0,200.3,0,13.1,4.36,0,0,0,10,134,38,1.55,11.7,22500,7530,0,0,11.6,6.69,0,0,1630,576,0,0,0,1870,878,0,0.85,10.3,1.19,0,319,0,0,0,0,0,0,168,,,,,
254,254,107,254 x 254,254 x 254 x 107,0,0,0,0,0,0,107.1,0,266.7,258.8,0,12.8,20.5,12.7,0,200.3,0,15.6,5.38,0,0,0,8,134,34,1.52,14.2,17500,5930,0,0,11.3,6.59,0,0,1310,458,0,0,0,1480,697,0,0.848,12.4,0.898,0,172,0,0,0,0,0,0,136,,,,,
254,254,89,254 x 254,254 x 254 x 89,0,0,0,0,0,0,88.9,0,260.3,256.3,0,10.3,17.3,12.7,0,200.3,0,19.4,6.38,0,0,0,7,134,30,1.5,16.9,14300,4860,0,0,11.2,6.55,0,0,1100,379,0,0,0,1220,575,0,0.85,14.5,0.717,0,102,0,0,0,0,0,0,113,,,,,
254,254,73,254 x 254,254 x 254 x 73,0,0,0,0,0,0,73.1,0,254.1,254.6,0,8.6,14.2,12.7,0,200.3,0,23.3,7.77,0,0,0,6,134,28,1.49,20.4,11400,3910,0,0,11.1,6.48,0,0,898,307,0,0,0,992,465,0,0.849,17.2,0.562,0,57.6,0,0,0,0,0,0,93.1,,,,,
