First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
70,70,6.0,70 x 70,70 x 70 x 6.0,N/A,N/A,11.3,N/A,70,70,N/A,6.0,6.0,N/A,N/A,N/A,N/A,8.67,8.67,N/A,N/A,N/A,N/A,N/A,N/A,0.259,22.9,95.2,95.2,N/A,N/A,2.57,2.57,N/A,N/A,27.2,27.2,N/A,N/A,N/A,33.8,33.8,N/A,N/A,N/A,N/A,N/A,163,41.4,N/A,N/A,N/A,N/A,N/A,14.4
80,80,3.0,80 x 80,80 x 80 x 3.0,N/A,N/A,7.07,N/A,80,80,N/A,3.0,3.0,N/A,N/A,N/A,N/A,23.7,23.7,N/A,N/A,N/A,N/A,N/A,N/A,0.310,43.8,87.8,87.8,N/A,N/A,3.12,3.12,N/A,N/A,22.0,22.0,N/A,N/A,N/A,25.8,25.8,N/A,N/A,N/A,N/A,N/A,140,33.0,N/A,N/A,N/A,N/A,N/A,9.01
80,80,3.5,80 x 80,80 x 80 x 3.5,N/A,N/A,8.16,N/A,80,80,N/A,3.5,3.5,N/A,N/A,N/A,N/A,19.9,19.9,N/A,N/A,N/A,N/A,N/A,N/A,0.308,37.7,99.8,99.8,N/A,N/A,3.10,3.10,N/A,N/A,25.0,25.0,N/A,N/A,N/A,29.5,29.5,N/A,N/A,N/A,N/A,N/A,161,37.6,N/A,N/A,N/A,N/A,N/A,10.4
80,80,4.0,80 x 80,80 x 80 x 4.0,N/A,N/A,9.22,N/A,80,80,N/A,4.0,4.0,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.306,33.2,111,111,N/A,N/A,3.07,3.07,N/A,N/A,27.8,27.8,N/A,N/A,N/A,33.1,33.1,N/A,N/A,N/A,N/A,N/A,180,41.8,N/A,N/A,N/A,N/A,N/A,11.7
80,80,5.0,80 x 80,80 x 80 x 5.0,N/A,N/A,11.3,N/A,80,80,N/A,5.0,5.0,N/A,N/A,N/A,N/A,13.0,13.0,N/A,N/A,N/A,N/A,N/A,N/A,0.303,26.8,131,131,N/A,N/A,3.03,3.03,N/A,N/A,32.9,32.9,N/A,N/A,N/A,39.7,39.7,N/A,N/A,N/A,N/A,N/A,218,49.7,N/A,N/A,N/A,N/A,N/A,14.4
80,80,6.0,80 x 80,80 x 80 x 6.0,N/A,N/A,13.2,N/A,80,80,N/A,6.0,6.0,N/A,N/A,N/A,N/A,10.3,10.3,N/A,N/A,N/A,N/A,N/A,N/A,0.299,22.7,149,149,N/A,N/A,2.98,2.98,N/A,N/A,37.3,37.3,N/A,N/A,N/A,45.8,45.8,N/A,N/A,N/A,N/A,N/A,252,56.6,N/A,N/A,N/A,N/A,N/A,16.8
90,90,3.0,90 x 90,90 x 90 x 3.0,N/A,N/A,8.01,N/A,90,90,N/A,3.0,3.0,N/A,N/A,N/A,N/A,27.0,27.0,N/A,N/A,N/A,N/A,N/A,N/A,0.350,43.7,127,127,N/A,N/A,3.53,3.53,N/A,N/A,28.3,28.3,N/A,N/A,N/A,33.0,33.0,N/A,N/A,N/A,N/A,N/A,201,42.5,N/A,N/A,N/A,N/A,N/A,10.2
90,90,3.5,90 x 90,90 x 90 x 3.5,N/A,N/A,9.26,N/A,90,90,N/A,3.5,3.5,N/A,N/A,N/A,N/A,22.7,22.7,N/A,N/A,N/A,N/A,N/A,N/A,0.348,37.6,145,145,N/A,N/A,3.51,3.51,N/A,N/A,32.2,32.2,N/A,N/A,N/A,37.9,37.9,N/A,N/A,N/A,N/A,N/A,232,48.5,N/A,N/A,N/A,N/A,N/A,11.8
90,90,4.0,90 x 90,90 x 90 x 4.0,N/A,N/A,10.5,N/A,90,90,N/A,4.0,4.0,N/A,N/A,N/A,N/A,19.5,19.5,N/A,N/A,N/A,N/A,N/A,N/A,0.346,33.0,162,162,N/A,N/A,3.48,3.48,N/A,N/A,36.0,36.0,N/A,N/A,N/A,42.6,42.6,N/A,N/A,N/A,N/A,N/A,261,54.2,N/A,N/A,N/A,N/A,N/A,13.3
90,90,5.0,90 x 90,90 x 90 x 5.0,N/A,N/A,12.8,N/A,90,90,N/A,5.0,5.0,N/A,N/A,N/A,N/A,15.0,15.0,N/A,N/A,N/A,N/A,N/A,N/A,0.343,26.8,193,193,N/A,N/A,3.43,3.43,N/A,N/A,42.9,42.9,N/A,N/A,N/A,51.4,51.4,N/A,N/A,N/A,N/A,N/A,316,64.7,N/A,N/A,N/A,N/A,N/A,16.4
