First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
50,50,6.0,50 x 50,50 x 50 x 6.0,0,0,0,0,0,0,4.47,50,50,50,6.0,0,0,7.00,3.50,0,0,0,0,0,1.45,1.45,0,0,0,0,0,12.8,12.8,20.3,5.34,1.50,1.50,1.89,0.968,3.61,3.61,0,0,0,0,0,0,0,0,0,0,0.755,0,2.38,0,0,0,0,5.69
50,50,5.0,50 x 50,50 x 50 x 5.0,0,0,0,0,0,0,3.77,50,50,50,5.0,0,0,7.00,3.50,0,0,0,0,0,1.40,1.40,0,0,0,0,0,11.0,11.0,17.4,4.55,1.51,1.51,1.90,0.973,3.05,3.05,0,0,0,0,0,0,0,0,0,0,0.450,0,2.88,0,0,0,0,4.80
50,50,4.0,50 x 50,50 x 50 x 4.0,0,0,0,0,0,0,3.06,50,50,50,4.0,0,0,7.00,3.50,0,0,0,0,0,1.36,1.36,0,0,0,0,0,8.97,8.97,14.2,3.73,1.52,1.52,1.91,0.979,2.46,2.46,0,0,0,0,0,0,0,0,0,0,0.240,0,3.57,0,0,0,0,3.89
45,45,4.5,45 x 45,45 x 45 x 4.5,0,0,0,0,0,0,3.06,45,45,45,4.5,0,0,7.00,3.50,0,0,0,0,0,1.25,1.25,0,0,0,0,0,7.14,7.14,11.4,2.94,1.35,1.35,1.71,0.870,2.20,2.20,0,0,0,0,0,0,0,0,0,0,0.304,0,2.84,0,0,0,0,3.90
40,40,5.0,40 x 40,40 x 40 x 5.0,0,0,0,0,0,0,2.97,40,40,40,5.0,0,0,6.00,3.00,0,0,0,0,0,1.16,1.16,0,0,0,0,0,5.43,5.43,8.60,2.26,1.20,1.20,1.51,0.773,1.91,1.91,0,0,0,0,0,0,0,0,0,0,0.352,0,2.26,0,0,0,0,3.79
40,40,4.0,40 x 40,40 x 40 x 4.0,0,0,0,0,0,0,2.42,40,40,40,4.0,0,0,6.00,3.00,0,0,0,0,0,1.12,1.12,0,0,0,0,0,4.47,4.47,7.09,1.86,1.21,1.21,1.52,0.777,1.55,1.55,0,0,0,0,0,0,0,0,0,0,0.188,0,2.83,0,0,0,0,3.08
35,35,4.0,35 x 35,35 x 35 x 4.0,0,0,0,0,0,0,2.09,35,35,35,4.0,0,0,5.00,2.50,0,0,0,0,0,1.00,1.00,0,0,0,0,0,2.95,2.95,4.68,1.23,1.05,1.05,1.32,0.678,1.18,1.18,0,0,0,0,0,0,0,0,0,0,0.158,0,2.50,0,0,0,0,2.67
30,30,4.0,30 x 30,30 x 30 x 4.0,0,0,0,0,0,0,1.78,30,30,30,4.0,0,0,5.00,2.50,0,0,0,0,0,0.878,0.878,0,0,0,0,0,1.80,1.80,2.85,0.754,0.892,0.892,1.12,0.577,0.850,0.850,0,0,0,0,0,0,0,0,0,0,0.137,0,2.07,0,0,0,0,2.27
30,30,3.0,30 x 30,30 x 30 x 3.0,0,0,0,0,0,0,1.36,30,30,30,3.0,0,0,5.00,2.50,0,0,0,0,0,0.835,0.835,0,0,0,0,0,1.40,1.40,2.22,0.585,0.899,0.899,1.13,0.581,0.649,0.649,0,0,0,0,0,0,0,0,0,0,0.0610,0,2.75,0,0,0,0,1.74
25,25,4.0,25 x 25,25 x 25 x 4.0,0,0,0,0,0,0,1.45,25,25,25,4.0,0,0,3.50,1.75,0,0,0,0,0,0.762,0.762,0,0,0,0,0,1.02,1.02,1.61,0.430,0.741,0.741,0.931,0.482,0.586,0.586,0,0,0,0,0,0,0,0,0,0,0.107,0,1.75,0,0,0,0,1.85
25,25,3.0,25 x 25,25 x 25 x 3.0,0,0,0,0,0,0,1.12,25,25,25,3.0,0,0,3.50,1.75,0,0,0,0,0,0.723,0.723,0,0,0,0,0,0.803,0.803,1.27,0.334,0.751,0.751,0.945,0.484,0.452,0.452,0,0,0,0,0,0,0,0,0,0,0.0470,0,2.38,0,0,0,0,1.42
20,20,3.0,20 x 20,20 x 20 x 3.0,0,0,0,0,0,0,0.88,20,20,20,3.0,0,0,3.50,1.75,0,0,0,0,0,0.598,0.598,0,0,0,0,0,0.392,0.392,0.618,0.165,0.590,0.590,0.742,0.383,0.279,0.279,0,0,0,0,0,0,0,0,0,0,0.0380,0,1.81,0,0,0,0,1.12
