First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
139.7,10.0,N/A,139.7,139.7 x 10.0,N/A,N/A,32.0,N/A,139.7,139.7,N/A,10.0,10.0,N/A,N/A,N/A,14.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,13.7,862,862,N/A,N/A,4.60,4.60,N/A,N/A,123,123,N/A,N/A,N/A,169,169,N/A,N/A,N/A,N/A,N/A,1720,247,N/A,N/A,N/A,N/A,N/A,40.7
168.3,4.0,N/A,168.3,168.3 x 4.0,N/A,N/A,16.2,N/A,168.3,168.3,N/A,4.0,4.0,N/A,N/A,N/A,42.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,32.7,697,697,N/A,N/A,5.81,5.81,N/A,N/A,82.8,82.8,N/A,N/A,N/A,108,108,N/A,N/A,N/A,N/A,N/A,1390,166,N/A,N/A,N/A,N/A,N/A,20.6
168.3,4.5,N/A,168.3,168.3 x 4.5,N/A,N/A,18.2,N/A,168.3,168.3,N/A,4.5,4.5,N/A,N/A,N/A,37.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,29.1,777,777,N/A,N/A,5.79,5.79,N/A,N/A,92.4,92.4,N/A,N/A,N/A,121,121,N/A,N/A,N/A,N/A,N/A,1550,185,N/A,N/A,N/A,N/A,N/A,23.2
168.3,5.0,N/A,168.3,168.3 x 5.0,N/A,N/A,20.1,N/A,168.3,168.3,N/A,5.0,5.0,N/A,N/A,N/A,33.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,26.3,856,856,N/A,N/A,5.78,5.78,N/A,N/A,102,102,N/A,N/A,N/A,133,133,N/A,N/A,N/A,N/A,N/A,1710,203,N/A,N/A,N/A,N/A,N/A,25.7
168.3,6.0,N/A,168.3,168.3 x 6.0,N/A,N/A,24.0,N/A,168.3,168.3,N/A,6.0,6.0,N/A,N/A,N/A,28.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,22.0,1010,1010,N/A,N/A,5.74,5.74,N/A,N/A,120,120,N/A,N/A,N/A,158,158,N/A,N/A,N/A,N/A,N/A,2020,240,N/A,N/A,N/A,N/A,N/A,30.6
168.3,6.3,N/A,168.3,168.3 x 6.3,N/A,N/A,25.2,N/A,168.3,168.3,N/A,6.3,6.3,N/A,N/A,N/A,26.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,21.0,1050,1050,N/A,N/A,5.73,5.73,N/A,N/A,125,125,N/A,N/A,N/A,165,165,N/A,N/A,N/A,N/A,N/A,2110,250,N/A,N/A,N/A,N/A,N/A,32.1
168.3,8.0,N/A,168.3,168.3 x 8.0,N/A,N/A,31.6,N/A,168.3,168.3,N/A,8.0,8.0,N/A,N/A,N/A,21.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,16.7,1300,1300,N/A,N/A,5.67,5.67,N/A,N/A,154,154,N/A,N/A,N/A,206,206,N/A,N/A,N/A,N/A,N/A,2600,308,N/A,N/A,N/A,N/A,N/A,40.3
168.3,10.0,N/A,168.3,168.3 x 10.0,N/A,N/A,39.0,N/A,168.3,168.3,N/A,10.0,10.0,N/A,N/A,N/A,16.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,13.6,1560,1560,N/A,N/A,5.61,5.61,N/A,N/A,186,186,N/A,N/A,N/A,251,251,N/A,N/A,N/A,N/A,N/A,3130,372,N/A,N/A,N/A,N/A,N/A,49.7
168.3,12.5,N/A,168.3,168.3 x 12.5,N/A,N/A,48.0,N/A,168.3,168.3,N/A,12.5,12.5,N/A,N/A,N/A,13.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.529,11.0,1870,1870,N/A,N/A,5.53,5.53,N/A,N/A,222,222,N/A,N/A,N/A,304,304,N/A,N/A,N/A,N/A,N/A,3740,444,N/A,N/A,N/A,N/A,N/A,61.2
193.7,4.0,N/A,193.7,193.7 x 4.0,N/A,N/A,18.7,N/A,193.7,193.7,N/A,4.0,4.0,N/A,N/A,N/A,48.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.609,32.6,1070,1070,N/A,N/A,6.71,6.71,N/A,N/A,111,111,N/A,N/A,N/A,144,144,N/A,N/A,N/A,N/A,N/A,2150,222,N/A,N/A,N/A,N/A,N/A,23.8
